29
6
3 3
4.4862	9.096	8.2256	6.5502	5.941	9.573
4.5377	8.7817	8.206	6.6507	6.0303	7.9998
4.7011	9.8001	8.3421	6.3805	6.3499	6.6557
4.9565	9.01	8.1171	6.7737	5.4612	10.1166
4.5251	8.5925	8.0454	6.6174	5.9241	7.3244
4.9455	8.9481	8.4323	6.7114	6.1498	9.9155
4.6079	9.1452	8.5604	7.0242	5.7818	9.981
4.4322	9.0142	8.3605	6.4705	5.5136	6.3071
4.6575	8.9266	8.6338	6.5418	5.7449	9.8377
4.8645	9.2713	8.5775	6.8281	5.843	9.7728
4.6572	9.0507	8.4611	6.4581	5.9313	6.6979
4.6415	8.9537	8.1248	6.7303	5.2985	9.8362
4.7361	9.0886	8.7602	6.8893	6.6551	7.6362
4.6751	8.9733	8.0644	6.437	6.129	7.976
4.7344	9.3125	8.1032	6.843	6.2572	8.0456
4.9724	8.9342	8.2065	6.9167	6.3553	9.7163
5.2044	8.7924	8.7026	6.6317	5.1848	9.6311
5.416	8.7725	8.5818	7.2965	6.207	10.0382
4.7141	8.9008	8.0408	6.4022	6.4101	8.699
5.2048	9.0669	8.2664	6.9475	5.6969	9.703
4.4788	8.7939	7.3678	6.535	7.1772	6.5169
4.9608	8.6649	8.2552	6.9609	6.2646	9.0545
4.5382	10.0327	8.2719	6.8041	5.4347	10.214
4.4985	9.0725	7.9132	6.357	5.7506	7.6763
4.5384	8.7735	7.7904	6.3672	6.5001	9.4727
4.4007	9.6368	8.0584	6.0689	5.4156	8.1023
4.7716	9.0046	7.9555	6.8429	5.7092	9.9871
4.4317	9.1118	8.0384	6.237	5.6429	9.9993
4.4529	9.2409	8.0684	6.4338	7.2676	8.475
